"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"p_AT1G01900.1";-0.41;-0.66;-0.12;-0.19;-0.37
"p_AT1G02305.1";0.24;-0.86;0.07;0.19;0.24
"p_AT1G02700.1";0.87;0.22;-0.02;0.32;-0.05
"p_AT1G02780.1";-0.74;-0.3;0.24;-0.1;-0.21
"p_AT1G03680.1";0.8;0.27;0.04;0.06;0.26
"p_AT1G03890.1";-0.54;0.15;0.06;0.04;0.04
"p_AT1G04170.1";-0.33;0.49;0.27;0.56;-0.18
"p_AT1G04480.1";-0.83;0.12;-0.03;0.02;-0.21
"p_AT1G04580.1";-0.01;-0.59;-0.24;0.18;-0.06
"p_AT1G05510.1";0.82;0.03;0.19;0.16;0.17
"p_AT1G07080.1";0.25;0.01;0.14;0.56;-0.17
"p_AT1G07140.1";0.73;0.38;0.11;0.46;0.11
"p_AT1G07645.1";0.78;0.06;-0.2;0;0.2
"p_AT1G07750.1";-0.02;-0.9;-0.14;-0.06;0.06
"p_AT1G07920.1";-0.07;0.35;0.46;0.38;0.33
"p_AT1G07985.1";0.63;-0.51;0.03;0.1;0.2
"p_AT1G08830.1";-0.17;0.25;0.5;0.21;0.5
"p_AT1G09620.1";-0.75;0.4;-0.09;-0.01;-0.28
"p_AT1G09640.1";0.57;0.47;0.21;0.4;-0.28
"p_AT1G11840.1";0.02;0.18;-0.12;-0.24;0.14
"p_AT1G11910.1";-0.23;-0.6;0;0.22;-0.22
"p_AT1G13930.1";0.46;-0.49;0.47;0.21;0.22
"p_AT1G14170.1";0.74;-0.34;0.3;-0.28;-0.02
"p_AT1G14930.1";0.55;-0.44;-0.22;-0.21;0.09
"p_AT1G14940.1";0.57;-0.55;-0.27;0.01;-0.15
"p_AT1G14950.1";0.65;-0.64;-0.2;-0.06;-0.04
"p_AT1G15340.1";-0.78;0.1;0.36;-0.01;0.04
"p_AT1G15930.1";0.64;0.17;-0.27;0.43;-0.16
"p_AT1G16030.1";-0.38;-0.2;0.42;0.11;0.11
"p_AT1G16730.1";0.66;-0.1;0.2;0.54;-0.31
"p_AT1G17100.1";0.05;-0.87;0.25;0.12;0.29
"p_AT1G18080.1";-0.68;0.4;0.37;0.29;0.26
"p_AT1G18100.1";0.37;-0.65;0.33;0.05;-0.17
"p_AT1G18500.1";-0.42;0.84;0.17;0.14;0.06
"p_AT1G19140.1";0.67;-0.08;0.34;0.49;-0.24
"p_AT1G19570.1";0.89;0.29;-0.08;0.22;-0.01
"p_AT1G19900.1";0.23;-0.77;0.04;0.02;0.38
"p_AT1G20020.1";0.03;0.85;0.11;-0.29;-0.09
"p_AT1G20620.1";-0.02;0.89;0.11;-0.12;-0.2
"p_AT1G20630.1";0.48;0.1;0.59;-0.37;-0.12
"p_AT1G21750.1";-0.55;0.57;0.3;-0.25;0.08
"p_AT1G22780.1";0.66;0.07;0;0.38;-0.25
"p_AT1G24360.1";0.31;0.62;0.07;-0.34;0.48
"p_AT1G24450.1";0.77;-0.08;0.44;0.35;-0.1
"p_AT1G25350.1";0.77;0.22;-0.16;-0.06;-0.14
"p_AT1G26560.1";-0.12;-0.9;0.04;-0.02;0.27
"p_AT1G26630.1";-0.34;-0.19;-0.25;0.67;0.01
"p_AT1G27950.1";-0.59;0.15;0.55;0.2;0.1
"p_AT1G28200.1";0.01;-0.51;0.72;0.04;0.05
"p_AT1G29680.1";0.9;0.25;-0.1;-0.01;0.12
"p_AT1G30230.1";0.66;0.34;-0.37;0.13;0.09
"p_AT1G30360.1";0.81;-0.3;0.11;0.38;0.16
"p_AT1G32060.1";0.16;0.63;0.01;-0.37;0.05
"p_AT1G33120.1";-0.2;0.31;-0.62;-0.12;0.28
"p_AT1G34430.1";0.51;0.14;0.44;-0.45;0.26
"p_AT1G43170.1";-0.75;0.08;0.34;0.21;0.34
"p_AT1G43670.1";-0.72;0.56;-0.22;0.19;-0.14
"p_AT1G47128.1";-0.27;-0.41;0.51;0.38;0.15
"p_AT1G47260.1";-0.05;0.01;-0.66;0.23;0.37
"p_AT1G47980.1";-0.81;0.36;0.07;-0.06;-0.2
"p_AT1G48030.1";-0.48;0.56;0.17;0.31;0.31
"p_AT1G48130.1";0.83;-0.03;0.2;0.35;-0.27
"p_AT1G48470.1";-0.02;-0.59;-0.26;-0.08;0.27
"p_AT1G48920.1";-0.94;-0.14;0.03;0.17;-0.02
"p_AT1G48990.1";0.66;0.57;0.04;0.04;-0.02
"p_AT1G49240.1";-0.32;-0.64;-0.18;-0.03;0.25
"p_AT1G50200.1";-0.76;0.31;-0.15;-0.09;0.13
"p_AT1G50380.1";-0.4;0.24;0.6;-0.07;-0.07
"p_AT1G52560.1";-0.12;0.18;0.61;0.3;0.08
"p_AT1G52690.1";-0.37;0.34;0.67;0.21;0
"p_AT1G53310.1";0.94;0.03;-0.04;0.23;0
"p_AT1G53850.1";0.73;-0.19;-0.09;0.22;-0.32
"p_AT1G54050.1";-0.09;0.34;0.3;0.21;-0.45
"p_AT1G54100.1";-0.5;0.54;0.05;-0.45;0.25
"p_AT1G54870.1";0.27;-0.16;-0.17;-0.02;-0.06
"p_AT1G56070.1";0.46;0.64;-0.28;0.33;0.09
"p_AT1G56110.1";-0.9;-0.06;0.02;0.22;-0.1
"p_AT1G56340.1";-0.61;0.58;0.16;-0.12;-0.13
"p_AT1G57720.1";0.62;0.05;0.36;0.08;-0.49
"p_AT1G60680.1";0.94;0.16;-0.01;0.13;0.04
"p_AT1G62000.1";0.13;-0.31;-0.46;-0.35;0.33
"p_AT1G62080.1";0.13;-0.23;-0.45;-0.31;0.31
"p_AT1G62290.1";-0.35;0.57;0.31;-0.07;0.4
"p_AT1G63770.3";-0.44;-0.54;0;0.28;0.25
"p_AT1G63940.1";-0.46;0.19;0.08;-0.27;0.38
"p_AT1G64110.1";-0.61;-0.39;-0.28;0.42;-0.12
"p_AT1G65090.2";-0.7;0.45;0.06;-0.08;-0.17
"p_AT1G65880.1";0.1;0.3;0.46;0.23;0.22
"p_AT1G65930.1";-0.07;-0.5;0.15;-0.14;0.24
"p_AT1G65980.1";0.16;0.22;-0.4;0.02;-0.56
"p_AT1G66430.1";0.88;0.09;0.13;-0.21;0.14
"p_AT1G67090.1";0.9;-0.04;0.05;-0.13;0.07
"p_AT1G68560.1";-0.74;-0.08;0.33;0.16;-0.08
"p_AT1G69410.1";-0.39;0.39;0.04;-0.26;-0.22
"p_AT1G69800.1";0.78;0.38;-0.05;-0.11;0.26
"p_AT1G70730.1";-0.87;-0.09;-0.08;-0.04;0.08
"p_AT1G70770.1";-0.5;0.29;0.59;-0.04;0.33
"p_AT1G70840.1";0.36;-0.87;0.05;0.25;0.05
"p_AT1G71695.1";-0.75;-0.45;0.12;0.01;0.05
"p_AT1G72100.1";-0.22;-0.59;0.52;-0.02;-0.16
"p_AT1G72680.1";-0.7;0.07;0.24;-0.06;0.05
"p_AT1G73190.1";-0.48;0.48;0.28;-0.07;-0.06
"p_AT1G74030.1";0.62;-0.12;0.04;-0.34;0.21
"p_AT1G74310.1";0.94;0.1;0.11;0.12;-0.08
"p_AT1G74960.1";0.54;0.25;0.17;-0.65;0.14
"p_AT1G77090.1";0.69;0.57;0.18;-0.09;0.19
"p_AT1G77120.1";-0.12;-0.02;0.38;-0.56;-0.38
"p_AT1G77510.1";-0.76;0.17;0.26;-0.03;-0.04
"p_AT1G78300.1";0.73;0.15;-0.16;0.16;0.4
"p_AT1G78370.1";0.89;0.18;-0.08;0.02;-0.19
"p_AT1G78380.1";0.78;0.08;-0.19;0.25;0.15
"p_AT1G78900.1";-0.89;0.09;-0.16;-0.17;-0.03
"p_AT1G79230.3";0.18;-0.22;-0.64;0.01;-0.3
"p_AT1G79440.1";0.59;0.06;0.33;-0.21;-0.32
"p_AT1G79550.1";0.48;0.01;0.01;0.52;0.56
"p_AT1G79690.1";0.89;-0.15;0.32;0.13;-0.04
"p_AT2G01140.1";0.87;-0.2;0.22;-0.07;-0.13
"p_AT2G01250.1";-0.76;0.03;-0.21;-0.13;0.21
"p_AT2G01470.1";-0.59;-0.18;0.51;-0.22;0.2
"p_AT2G03440.1";-0.74;0.43;0.1;0.36;0.08
"p_AT2G04390.1";-0.67;0.03;-0.11;0.17;-0.07
"p_AT2G04520.1";-0.86;0;0.09;-0.14;0.15
"p_AT2G04780.1";-0.25;-0.68;0.25;0.09;0.32
"p_AT2G05710.1";-0.81;-0.02;-0.34;0.39;0.07
"p_AT2G05920.1";0.19;-0.52;0.27;-0.32;0.31
"p_AT2G05990.1";0.54;0.16;-0.03;-0.26;-0.36
"p_AT2G07698.1";0.4;0.53;-0.47;0;0.46
"p_AT2G14260.2";0.57;0.54;-0.03;-0.16;-0.28
"p_AT2G15010.1";0.79;0.12;0.05;0.43;-0.34
"p_AT2G17360.1";-0.78;-0.08;0.16;0.09;-0.04
"p_AT2G17870.1";-0.17;0.03;0.2;-0.01;-0.19
"p_AT2G18110.1";0.41;0.14;-0.75;0.01;0.13
"p_AT2G18540.1";-0.63;0.06;-0.28;-0.3;0.14
"p_AT2G19520.1";-0.61;0.01;-0.19;0.48;0.08
"p_AT2G19900.1";-0.24;0.36;-0.3;-0.26;0.43
"p_AT2G20560.1";-0.63;0.16;0.13;-0.08;0.08
"p_AT2G20580.1";0.63;0.17;-0.15;0.54;0.07
"p_AT2G21170.1";0.43;0.5;-0.13;-0.42;0.18
"p_AT2G21660.1";0;-0.9;-0.16;0.23;0.11
"p_AT2G21820.1";-0.38;0.72;0.34;0.05;-0.36
"p_AT2G22240.1";0.53;0.26;0.19;-0.67;0.01
"p_AT2G22780.1";0.05;-0.04;-0.17;0.85;0.22
"p_AT2G23110.1";-0.51;0.75;0.1;-0.04;-0.06
"p_AT2G23120.1";0.17;0.08;0.45;0.3;-0.28
"p_AT2G23240.1";0.15;0.11;0.32;0.22;-0.4
"p_AT2G23350.1";-0.54;0.35;0.46;0.42;-0.11
"p_AT2G24270.1";0.26;-0.88;0.16;-0.14;0.05
"p_AT2G25970.1";-0.74;-0.51;0;0.17;-0.13
"p_AT2G27020.1";0.07;0.12;-0.29;-0.23;0.5
"p_AT2G28490.1";0.12;-0.45;-0.42;-0.29;-0.05
"p_AT2G29300.1";-0.54;0.73;-0.13;-0.13;0.09
"p_AT2G30970.1";-0.49;0.48;0.04;0.44;0.26
"p_AT2G32120.1";-0.59;0.36;-0.29;-0.14;-0.23
"p_AT2G33070.1";-0.08;-0.89;0.1;-0.23;-0.22
"p_AT2G33150.1";-0.79;0.27;0.03;0.49;0.02
"p_AT2G33590.1";0.66;-0.25;-0.05;-0.05;0.27
"p_AT2G34700.1";-0.2;0.49;0.28;0;-0.11
"p_AT2G34790.1";0.27;-0.73;0.08;0.08;0.18
"p_AT2G36070.1";-0.56;0.47;0.23;0.48;0.18
"p_AT2G36460.1";0.45;0.61;-0.16;0.2;0.25
"p_AT2G36530.1";-0.66;0.11;0.25;-0.29;-0.15
"p_AT2G36640.1";0.47;0.77;-0.19;0.01;0.03
"p_AT2G37220.1";-0.82;-0.08;-0.17;0.17;0.07
"p_AT2G37970.1";-0.04;-0.68;0.41;-0.17;0.02
"p_AT2G38040.1";0.51;0.65;0.42;-0.11;0.05
"p_AT2G38380.1";0.5;-0.66;0.32;-0.3;0.23
"p_AT2G39990.1";-0.83;-0.08;-0.29;0;-0.05
"p_AT2G40170.1";0.13;0.11;0.61;0.06;0.46
"p_AT2G41260.1";0.45;-0.77;0.21;-0.29;0.04
"p_AT2G42000.1";0.14;0.28;0.26;0.34;-0.32
"p_AT2G42520.1";-0.43;-0.29;-0.04;0.24;-0.48
"p_AT2G42560.1";-0.22;0.79;0.3;-0.04;0.26
"p_AT2G42740.1";-0.31;0.01;-0.29;-0.05;-0.54
"p_AT2G42790.1";0.61;0.26;-0.05;0.54;-0.08
"p_AT2G43090.1";-0.04;0.81;0.06;0.06;0.32
"p_AT2G43460.1";-0.89;-0.27;0.06;-0.07;-0.25
"p_AT2G43520.1";-0.06;0.22;0.55;0.24;-0.54
"p_AT2G43950.1";0.69;-0.59;0.22;-0.04;0.05
"p_AT2G44060.1";0.56;0.75;0.06;-0.05;-0.11
"p_AT2G44120.1";-0.68;-0.25;-0.12;0.21;0.13
"p_AT2G44350.1";0.92;-0.01;-0.05;0.18;-0.12
"p_AT2G46280.1";-0.18;0.25;-0.55;0.32;-0.07
"p_AT2G46750.1";0.07;-0.92;0.19;0.14;0.09
"p_AT2G47470.1";0.85;0.11;0.06;0.15;-0.32
"p_AT2G47770.1";0.16;0.53;-0.21;-0.13;0.6
"p_AT3G01910.1";-0.25;-0.58;0.4;-0.25;0.36
"p_AT3G02230.1";0.84;0.02;0.15;0.16;-0.14
"p_AT3G02360.1";0.9;0.12;-0.11;0.2;0.12
"p_AT3G02480.1";0.68;-0.62;0.19;0.1;-0.11
"p_AT3G02530.1";0.88;0.24;-0.3;0.05;0
"p_AT3G03640.1";-0.79;-0.2;0.28;0.1;-0.11
"p_AT3G04610.1";-0.8;0.27;-0.08;0.11;0.12
"p_AT3G04840.1";-0.68;0.11;0.09;0.25;-0.16
"p_AT3G05190.1";0.27;-0.58;0.11;0.44;0.38
"p_AT3G05260.1";-0.33;0.66;0.44;0.08;-0.23
"p_AT3G05530.1";0.26;0.54;-0.35;0.18;0.39
"p_AT3G05560.1";-0.58;0.05;-0.09;-0.01;0.15
"p_AT3G06050.1";-0.79;-0.06;0.17;-0.26;0.01
"p_AT3G06860.1";-0.81;0;-0.31;0.38;-0.09
"p_AT3G07770.1";-0.66;0.37;-0.33;0.49;-0.09
"p_AT3G08030.1";-0.39;-0.45;-0.41;0.55;0.04
"p_AT3G08530.1";-0.38;-0.69;0.03;0.19;-0.11
"p_AT3G08590.1";-0.66;0.04;0.21;0.12;0.29
"p_AT3G08900.1";0.48;0.73;-0.09;0.03;-0.31
"p_AT3G09440.1";-0.71;-0.63;0.14;0.03;-0.1
"p_AT3G10020.1";0.88;0.04;0.16;0.17;-0.08
"p_AT3G10920.1";0.7;-0.21;0.01;0.21;-0.08
"p_AT3G11050.1";0.94;0.02;0.01;0;-0.03
"p_AT3G11630.1";0.87;0.2;-0.1;0.19;-0.16
"p_AT3G11930.1";0.37;0.66;-0.19;0.1;0.28
"p_AT3G12145.1";-0.08;-0.76;-0.22;-0.12;-0.19
"p_AT3G12203.1";0.26;-0.84;0.25;-0.2;0.07
"p_AT3G12490.1";0.61;-0.24;0.02;0.48;-0.09
"p_AT3G12580.1";-0.44;0.04;0.23;-0.13;-0.6
"p_AT3G12780.1";0.25;0.76;0.11;-0.46;0.33
"p_AT3G12960.1";0.81;0.47;0.12;0.28;-0.1
"p_AT3G13300.1";-0.75;-0.35;-0.08;0.37;0.1
"p_AT3G13460.1";-0.8;-0.02;0.02;0.48;0.22
"p_AT3G13790.1";-0.76;-0.12;0.14;-0.1;0.09
"p_AT3G13920.1";0.52;0.3;-0.51;0.22;0.47
"p_AT3G13930.1";-0.73;-0.18;-0.13;-0.29;0.25
"p_AT3G14067.1";0.32;-0.48;-0.02;-0.37;0.35
"p_AT3G14310.1";-0.57;0.72;0.12;-0.03;-0.04
"p_AT3G14990.1";0.16;0.87;-0.2;0.08;0.19
"p_AT3G15260.1";0.62;0.04;0.41;0;0.48
"p_AT3G15280.1";0.32;0.66;0.32;0.26;0.36
"p_AT3G15670.1";-0.29;-0.62;0.27;-0.14;0.1
"p_AT3G15730.1";-0.6;-0.45;0;0.01;-0.16
"p_AT3G16640.1";0.21;0.25;-0.43;-0.12;0.31
"p_AT3G16895.1";0.76;0.11;0.25;0.42;-0.26
"p_AT3G16950.1";0.33;-0.68;-0.11;-0.01;0.19
"p_AT3G17240.1";-0.66;-0.28;0.2;0.28;0.44
"p_AT3G17520.1";0.89;0.11;0.01;0.22;-0.22
"p_AT3G17810.1";0.68;0.53;0.1;-0.26;-0.18
"p_AT3G18490.1";-0.58;-0.51;-0.4;0.24;0.11
"p_AT3G18570.1";-0.67;0.32;0.21;-0.12;0.42
"p_AT3G19820.1";0.8;0.04;-0.21;0.13;0.33
"p_AT3G19920.1";-0.22;-0.19;0.06;-0.59;0.19
"p_AT3G20390.1";0.09;-0.66;0.34;0.39;-0.22
"p_AT3G20820.1";-0.25;-0.78;-0.12;0.05;0.24
"p_AT3G21370.1";-0.21;-0.7;-0.3;-0.09;-0.02
"p_AT3G21380.1";0;-0.51;0.37;-0.46;-0.32
"p_AT3G21720.1";-0.74;-0.12;-0.2;0.48;0.06
"p_AT3G22110.1";-0.4;0.49;0.15;0.02;0.04
"p_AT3G22200.1";-0.41;0.72;0.09;-0.08;-0.24
"p_AT3G22490.1";-0.54;0.11;0.42;-0.43;0.3
